birdnet_id,scientific_name,common_name,common_name_alt,taxon_group,record_type,scientific_name_aliases,common_name_aliases,inat_id,ebird_code,gbif_id,ncbi_id,avibase_id,birdlife_id,ml_taxon_code,xc_name,observationorg_id,wikidata_qid,observations_count,description_source,metadata_quality_score,metadata_quality_flags,image_url,image_author,image_license,image_source,common_name_en,common_name_ru,common_name_es,common_name_de,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_bg,common_name_zh-CN,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_es_EC,common_name_hr,common_name_lt,common_name_fa,common_name_zh,common_name_cy
BN00001,Abeillia abeillei,Emerald-chinned Hummingbird,,Aves,species,,,6028,emchum1,2476145,1507328,B3F5E5E222C2694B,22687170,emchum1,Abeillia abeillei,71831,,149,wikipedia,74,short_english_description,https://birdnet.cornell.edu/taxonomy/api/image/Abeillia%20abeillei?size=medium,Daniel Mérida,© Macaulay Library,Macaulay Library ML616622465,Emerald-chinned Hummingbird,Изумрудогорлый колибри,Colibrí de Abeillé,Smaragdkehlkolibri,kolibřík smaragdovohrdlý,Colibri d'Abeillé,Smaragdkeelkolibrie,zielaczek,コバシハチドリ,emerald-chinned hummingbird,colibrí d'Abeillé,Смарагдовогушо колибри,翠颏蜂鸟,smaragdstrupekolibri,smaragdstrupe,Smaragdstrube,kolibrík zelenobradý,Колібрі малахітовий,Abeille Kolibrisi,viherleukakolibri,Smaragdnobradi kolibri,Colibrí de Abeillé,Colibrí Pico Corto,Emerald-chinned hummingbird,Colibrí de Abeillé,kratkokljuni kolibrić,Abeilija,مگسمرغ زمردچانه,翠颏蜂鸟,Sïedn gên emrallt
BN00002,Abispa ephippium,Australian hornet,,Insecta,species,,,498926,,1330580,485912,,,,,,,1171,wikipedia,83,,https://birdnet.cornell.edu/taxonomy/api/image/Abispa%20ephippium?size=medium,Ian McMillan,cc-by-nc,iNaturalist,Australian hornet,,,,,,Australian hornet,,,,,,,,,,,,,,,,,,,,,,,
BN00003,Abroscopus albogularis,Rufous-faced Warbler,,Aves,species,,,116786,rufwar1,2493239,752199,684016CBDE2EC973,22715451,rufwar1,Abroscopus albogularis,77292,,799,wikipedia,84,,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20albogularis?size=medium,Ed Thomas,© Macaulay Library,Macaulay Library ML85769661,Rufous-faced Warbler,Рыжещёкая комарница,Mosquitero Carirrufo,Rostwangen-Dickichtsänger,budníček rezavolící,Bouscarle à moustaches,Roodwangboszanger,skrytoczub rdzawolicy,コシジロムシクイ,rufous-faced warbler,abròscop cara-roig,Ръждиволик певец,棕脸鹟莺,rustmaskesanger,rostkindad cettia,Brunmasket Sanger,pradešan červenolíci,Війчик рудощокий,Kızıl Yüzlü Ötleğen,pikkulehväkerttu,Rumenolika grmuša,Mosquitero carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,Mosquitero Carirrufo,riđolica svilorepa,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,棕脸鹟莺,Gwybedog-delor gyddfwyn
BN00004,Abroscopus schisticeps,Black-faced Warbler,,Aves,species,,,116787,blfwar1,2493237,565568,0FD03AFF7192A84C,22715454,blfwar1,Abroscopus schisticeps,77293,,208,wikipedia,78,,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20schisticeps?size=medium,markus lilje,cc-by-nc-nd,iNaturalist,Black-faced Warbler,Чернолицая комарница,Mosquitero Carinegro,Schieferkopf-Dickichtsänger,budníček černolící,Bouscarle à face noire,Zwartmaskerboszanger,skrytoczub ciemnolicy,カオグロムシクイ,black-faced warbler,abròscop emmascarat,Чернолик певец,黑脸鹟莺,svartmaskesanger,svartkindad cettia,Sortmasket Sanger,pradešan čiernolíci,Війчик чорнощокий,Siyah Yüzlü Ötleğen,naamiolehväkerttu,Crnolika grmuša,Mosquitero carinegro,Mosquitero Carinegro,Black-faced warbler,Mosquitero Carinegro,crnolica svilorepa,Juodaveidė raštuotoji musinukė,سسک روسیاه,黑脸鹟莺,Gwybedog-delor wynebddu
BN00005,Abroscopus superciliaris,Yellow-bellied Warbler,,Aves,species,,,116788,yebwar1,2493238,330771,A8F5D21FA348AD98,22731005,yebwar1,Abroscopus superciliaris,77294,,416,wikipedia,82,,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20superciliaris?size=medium,Natthaphat Chotjuckdikul,© Macaulay Library,Macaulay Library ML187385731,Yellow-bellied Warbler,Желтобрюхая комарница,Mosquitero Cejiblanco,Bambusdickichtsänger,budníček šedokorunkatý,Bouscarle à sourcils blancs,Bamboeboszanger,skrytoczub białobrewy,マミジロムシクイ,yellow-bellied warbler,abròscop cellablanc,Жълтокорем певец,黄腹鹟莺,hvitbrynsanger,gulbukig cettia,Gulbuget Sanger,pradešan bambusový,Війчик білобровий,Sarı Karınlı Ötleğen,bambulehväkerttu,Žutotrba grmuša,Mosquitero cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,Mosquitero Cejiblanco,žutotrba svilorepa,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,黄腹鹟莺,Gwybedog-delor torfelyn
BN00006,Aburria aburri,Wattled Guan,,Aves,species,,,2103,watgua1,2482313,125058,50A427758325F170,22678440,watgua1,Aburria aburri,70214,,188,wikipedia,94,,https://birdnet.cornell.edu/taxonomy/api/image/Aburria%20aburri?size=medium,Alejandro Bayer Tamayo,cc-by-sa,iNaturalist,Wattled Guan,Серёжчатый гуан,Pava Aburria,Lappenguan,guan aburri,Pénélope aburri,Lelgoean,grdacz soplowaty,ニクダレシャクケイ,wattled guan,guan camagroc,Голям черен гуан,肉垂冠雉,gulflikhokko,flikguan,Lappepenelopehøne,morkovec lalôčkový,Абурі,Küpeli Guan,helttasaku,Resasti guan,Pava aburria,Pava Aburria,Wattled guan,,plavokljuni guan,Aburija,شبخروش غبغبکی,肉垂冠雉,Gwân tagellog
BN00007,Acanthacris ruficornis,Garden Locust,,Insecta,species,,,132429,,1705891,274599,,,,,,,4081,wikipedia,75,,https://birdnet.cornell.edu/taxonomy/api/image/Acanthacris%20ruficornis?size=medium,Joachim Louis,cc-by-nc-nd,iNaturalist,Garden Locust,,,,,,Tuinsprinkhaan,,,,,,,,,,,,,,,,,,,,,,,
BN00008,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,,Aves,species,,,12677,spchon1,2487054,266413,BFB1C22E3E0ED8C7,22704451,spchon1,Acanthagenys rufogularis,75063,,3319,wikipedia,90,,https://birdnet.cornell.edu/taxonomy/api/image/Acanthagenys%20rufogularis?size=medium,Nik Borrow,cc-by-nc,iNaturalist,Spiny-cheeked Honeyeater,Розовоклювый серёжкоух,Mielero Golicanelo,Braunkehl-Honigfresser,medosavka modrooká,Méliphage à bavette,Goudkeelhoningeter,kolcoliczek,ケミミミツスイ,spiny-cheeked honeyeater,menjamel galtaespinós,Ръждивогуш медояд,刺颊垂蜜鸟,rosennebbhonningeter,rosanäbbad honungsfågel,Grågumpet Honningæder,medárik hnedohrdlý,Медолюб-дзвіночок,Diken Yanaklı Balkuşu,mustapyrstömesikko,Oštrobrki medojed,Mielero golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,Mielero Golicanelo,ružičastokljuni medojed,,عسلخوار چانهخاردار,刺颊垂蜜鸟,Melysor barfog
BN00009,Acanthidops bairdi,Peg-billed Finch,,Aves,species,,,10583,pebfin1,5788831,200166,5CCF7540501E4A68,22723128,pebfin1,Acanthidops bairdi,,,57,wikipedia,82,,https://birdnet.cornell.edu/taxonomy/api/image/Acanthidops%20bairdi?size=medium,Ken Chamberlain,cc-by-nc,iNaturalist,Peg-billed Finch,Остроклювый овсяночник,Yal Costarricense,Vulkanammertangare,pěnkavka Bairdova,Bec-en-cheville gris,Wigsnavelgors,bambusozięb ostrodzioby,ハシナガシトド,peg-billed finch,frigil becfí,Тънкоклюна чинкова танагра,尖嘴雀鹀,spissnebbspurv,spetsnäbbad tangara,Spidsnæbbet Finke,pinkavka sivá,Шиферка гостродзьоба,Sivri Gagalı İspinoz,kiilanokkasirkku,Šiljokljuna zeba,Yal costarricense,Yal Costarricense,Peg-billed finch,Yal Costarricense,klinastokljuni sjemenar,,سهره نوکمیخی,尖嘴雀鹀,Pila Baird
BN00010,Acanthinodera cumingii,Acanthinodera cumingii,,Insecta,species,,,556670,,1100392,2138409,,,,,,,1279,wikipedia,60,missing_common_name,https://birdnet.cornell.edu/taxonomy/api/image/Acanthinodera%20cumingii?size=medium,edonoso,cc-by-nc,iNaturalist,Acanthinodera Cummingi,,Madre de la culebra,,,Acanthinodera cumingi,Acanthinodera cumingi,,,,,Acanthinodera cumingi,,,,,,,,,,,,,,,,,,
